こむぎ　［小麦粉］　プレミックス粉　から揚げ用,1,311,10.2,1.2,2.6,70,133,0.15,0.07,0.12,0,0,0,0.6,2,2.8,26,0.33,4.3,3800,280,110,39,130,1.2,0.7,0.1,0.96,1,6,6,23
こむぎ　［小麦粉］　プレミックス粉　天ぷら用,1,337,8.8,1.3,2.5,76.1,10,0.12,0.99,0.06,0,0,0,0.5,0,2.7,12,0.35,1.3,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,1,132,3.3,0.5,1.9,30.2,81,0.04,0.16,0.02,0,0,0,0.2,0,1,3,0.19,0.5,64,67,84,6,51,0.2,0.1,0.04,0.2,1,1,1,3
こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,1,588,4.3,47.7,3.3,37,2,0.05,0.14,0.03,0,0,null,8.2,81,1.3,4,0.21,0.7,79,93,100,8,63,0.3,0.1,0.04,0.26,0,1,2,4
こむぎ　［パン類］　角形食パン　食パン,1,248,8.9,4.1,4.2,46.4,8,0.07,0.05,0.03,0,0,0,0.9,0,2.6,30,0.42,2.3,470,86,22,18,67,0.5,0.5,0.09,0.25,1,22,1,15
こむぎ　［パン類］　角形食パン　焼き,1,269,9.7,4.5,4.6,50.6,0,0.07,0.05,0.03,null,0,null,0.9,null,2.9,30,0.45,2.2,520,93,26,20,77,0.5,0.6,0.1,0.28,1,25,1,17
こむぎ　［パン類］　角形食パン　耳を除いたもの,1,226,8.2,3.7,3.8,42.6,10,0.06,0.05,0.04,null,0,null,0.7,null,2.5,17,0.3,2.2,440,78,20,16,61,0.4,0.4,0.08,0.23,1,20,1,12
こむぎ　［パン類］　角形食パン　耳,1,273,9.7,4.5,4.7,50.8,15,0.06,0.06,0.05,null,0,null,0.9,null,2.7,27,0.37,2.2,510,92,23,18,73,0.5,0.6,0.1,0.27,1,22,1,14
こむぎ　［パン類］　食パン　リーンタイプ,1,246,8,3.7,2,47.5,0,0.1,0.05,0.04,0,0,0.3,0.9,0,1.9,28,0.54,2.5,520,67,12,16,46,0.6,0.6,0.1,0.21,0,25,1,17
こむぎ　［パン類］　食パン　リッチタイプ,1,256,7.8,6,1.7,45.6,131,0.09,0.09,0.05,0.1,0,0.3,0.4,2,2.4,42,0.58,4.1,400,88,25,15,62,0.6,0.7,0.09,0.18,3,23,1,15
こむぎ　［パン類］　山形食パン　食パン,1,246,7.8,3.5,1.8,47.9,0,0.08,0.06,0.05,0,0,0,0.9,0,2.1,34,0.54,2.4,490,76,18,16,51,0.6,0.6,0.1,0.21,1,24,1,16
こむぎ　［パン類］　コッペパン,1,273,9.2,3.8,3.9,54.7,17,0.08,0.07,0.05,0.1,0,0,1.5,2,2.8,36,0.47,3.3,410,91,22,22,74,0.5,0.7,0.11,0.35,2,19,1,14
こむぎ　［パン類］　バンズ,1,274,10.4,4.8,4.2,50.6,8,0.11,0.06,0.05,null,null,null,1.5,null,3.4,27,0.43,3.2,470,97,29,21,85,0.6,0.7,0.11,0.34,1,30,2,18
こむぎ　［パン類］　乾パン,1,386,9.5,4.4,3.1,78.8,0,0.14,0.06,0.06,0,0,0,2.2,0,2.8,20,0.41,null,490,160,30,27,95,1.2,0.6,0.18,0.82,null,null,null,null
こむぎ　［パン類］　フランスパン,1,289,9.4,1.3,2.7,57.5,0,0.08,0.05,0.04,0,0,0,0.3,0,2.9,33,0.45,1.9,620,110,16,22,72,0.9,0.8,0.14,0.39,0,29,1,20
こむぎ　［パン類］　ライ麦パン,1,252,8.4,2.2,5.6,52.7,0,0.16,0.06,0.09,0,0,0,0.7,0,2.7,34,0.46,null,470,190,16,40,130,1.4,1.3,0.18,0.87,null,null,null,null
こむぎ　［パン類］　全粒粉パン,1,251,7.9,5.7,4.5,45.5,0,0.17,0.07,0.13,0,0,0,1.7,0,3.7,49,0.67,5.4,410,140,14,51,120,1.3,0.4,0.18,1.35,0,27,1,22
こむぎ　［パン類］　ぶどうパン,1,263,8.2,3.5,2.2,51.1,2,0.11,0.05,0.07,0,0,0,1.1,0,2.8,33,0.42,null,400,210,32,23,86,0.9,0.6,0.15,0.32,null,null,null,null
こむぎ　［パン類］　ロールパン,1,309,10.1,9,2,48.6,31,0.1,0.06,0.03,0,0,0.1,1.5,0,3.1,38,0.61,null,490,110,44,22,97,0.7,0.8,0.12,0.29,null,null,null,null
こむぎ　［パン類］　クロワッサン　レギュラータイプ,1,406,6.5,20.4,1.9,51.5,147,0.11,0.09,0.05,0.1,0,1.4,8.6,7,2.2,46,0.42,3.9,530,110,27,14,65,0.4,0.5,0.08,0.26,3,5,0,6
こむぎ　［パン類］　クロワッサン　リッチタイプ,1,438,7.9,26.8,1.8,43.9,146,0.08,0.03,0.03,0,0,0.1,8.6,0,2.6,33,0.44,null,470,90,21,17,67,0.6,0.6,0.1,0.29,null,null,null,null
こむぎ　［パン類］　くるみパン,1,292,8.2,12.6,2.4,38.7,40,0.11,0.09,0.11,0,0,0.1,4.2,2,2.5,45,0.55,2.9,310,150,35,33,88,0.8,0.9,0.23,0.61,2,18,1,12
こむぎ　［パン類］　イングリッシュマフィン,1,224,8.1,3.6,1.2,40.8,2,0.15,0.08,0.05,0,0,0,0.8,0,2.8,23,0.32,null,480,84,53,19,96,0.9,0.8,0.12,0.28,null,null,null,null
こむぎ　［パン類］　ナン,1,257,10.3,3.4,2,47.6,0,0.13,0.06,0.05,0,0,0,1.4,0,3.4,36,0.55,null,530,97,11,22,77,0.8,0.7,0.11,0.3,null,null,null,null
こむぎ　［パン類］　ベーグル,1,270,9.6,2,2.5,54.6,0,0.19,0.08,0.06,null,null,null,0.3,null,3.7,47,0.28,null,460,97,24,24,81,1.3,0.7,0.11,0.45,null,null,null,null
こむぎ　［うどん・そうめん類］　うどん　生,1,249,6.1,0.6,3.6,56.8,0,0.09,0.03,0.03,0,0,0,0.4,null,1.7,5,0.36,0.8,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7
こむぎ　［うどん・そうめん類］　うどん　ゆで,1,95,2.6,0.4,1.3,21.6,0,0.02,0.01,0.01,0,0,0,0.2,null,0.7,2,0.13,0.3,120,9,6,6,18,0.2,0.1,0.04,0.12,0,2,1,2
こむぎ　［うどん・そうめん類］　うどん　半生うどん,1,296,7.8,3.4,4.1,62.5,0,0.1,0.03,0.03,0,0,0,0.4,null,2.1,6,0.41,0.9,1200,98,22,15,64,0.6,0.3,0.09,0.45,2,6,2,8
こむぎ　［うどん・そうめん類］　干しうどん　乾,1,333,8.5,1.1,2.4,71.9,0,0.08,0.02,0.04,0,0,0,0.5,0,2.5,9,0.45,1.3,1700,130,17,19,70,0.6,0.4,0.11,0.5,0,10,1,12
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,1,117,3.1,0.5,0.7,25.8,0,0.02,0.01,0.01,0,0,0,0.2,0,0.8,2,0.14,null,210,14,7,4,24,0.2,0.1,0.04,0.14,null,null,null,null
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,1,333,9.5,1.1,2.5,72.7,0,0.08,0.02,0.03,0,0,0,0.5,0,2.8,8,0.7,1.3,1500,120,17,22,70,0.6,0.4,0.12,0.44,0,16,1,14
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,1,114,3.5,0.4,0.9,25.8,0,0.02,0.01,0,0,0,0,0.2,0,0.9,2,0.25,0.4,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3
